story,character, appearing lines
4a2f6bff-c44e-45d3-8031-8b5c55c39d67,I (myself),"[1, 3, 4, 5]"
4a2f6bff-c44e-45d3-8031-8b5c55c39d67,Tommy,"[1, 2, 3]"
e0506177-2a7c-46c7-86fe-1258fb273cd0,Her children,"[1, 3, 5]"
e0506177-2a7c-46c7-86fe-1258fb273cd0,Martha,"[1, 2, 3]"
ce989787-440b-40a7-85cf-d6130b79c595,Jack,"[1, 2, 3, 4, 5]"
34927109-e532-421b-8be1-06667c280079,Her daughter in law,"[3, 4, 5]"
34927109-e532-421b-8be1-06667c280079,Her son,"[1]"
34927109-e532-421b-8be1-06667c280079,Glenda,"[1, 2, 3, 5]"
36a44b73-6d19-4fee-bd61-fc600e874248,I (myself),"[1, 3, 5]"
36a44b73-6d19-4fee-bd61-fc600e874248,Friend,"[4]"
462cdeb9-1612-4335-ad34-5ba56a3d5138,Friend,"[1]"
462cdeb9-1612-4335-ad34-5ba56a3d5138,Tom,"[1, 2, 3, 4, 5]"
87566389-30fc-4c2a-9149-f9f878b6b780,Paul,"[1, 2, 3, 4, 5]"
87566389-30fc-4c2a-9149-f9f878b6b780,Adoptive parents,"[2, 3, 4, 5]"
87566389-30fc-4c2a-9149-f9f878b6b780,Father,"[5]"
87566389-30fc-4c2a-9149-f9f878b6b780,Birth parents,"[1, 2]"
87566389-30fc-4c2a-9149-f9f878b6b780,Mother,"[3]"
aa1382d3-80bf-4cbe-a472-d9c87be4317a,I (myself),"[1, 2, 3, 4, 5]"
c92e79fd-7bb2-4339-8d2c-ea0994845319,Sean,"[1]"
8d7d03ab-ea08-42f9-91bd-3893d191cf7c,Gina,"[1, 2, 4]"
8d7d03ab-ea08-42f9-91bd-3893d191cf7c,Driver,"[3, 4]"
f6d7afa4-06a3-4da8-a38e-2d4f57047ebb,Jan,"[1, 2, 3, 4]"
f0a1b72b-6e7b-4810-a0ac-40a494ac0151,Neil,"[1]"
eed030a1-42af-4375-8928-4e9964b673bf,Smitty,"[1]"
ecc7b5ba-04db-4404-b8f1-97f68c4a5c3d,Martha,"[1, 2, 4, 5]"
8e3e51da-1966-43e0-a45d-927ee9a407c8,Lexie,"[1, 2, 3, 4, 5]"
8e3e51da-1966-43e0-a45d-927ee9a407c8,Boy,"[4]"
6fb81f24-1bf4-44e8-aeda-bf5e6935221f,The judge,"[1]"
6fb81f24-1bf4-44e8-aeda-bf5e6935221f,Lawyer,"[3, 4]"
6fb81f24-1bf4-44e8-aeda-bf5e6935221f,The defendant,"[1, 2, 3, 5]"
dcb1385b-1640-4c09-a87f-c1248922ad14,Angel,"[1, 2, 3, 4, 5]"
dcb1385b-1640-4c09-a87f-c1248922ad14,Her boss,"[4, 5]"
98c29165-8555-40a8-98d7-e0471d985ad6,Angie,"[1, 2, 3, 4]"
98c29165-8555-40a8-98d7-e0471d985ad6,Kids,"[1, 3, 5]"
256e4645-599f-4d12-893f-7873eeaafb30,John,"[1, 2, 3, 4, 5]"
7b0e0cae-16ba-4e2c-bbe4-a83dc681f49b,The guy,"[3]"
7b0e0cae-16ba-4e2c-bbe4-a83dc681f49b,The officer,"[2, 5]"
7b0e0cae-16ba-4e2c-bbe4-a83dc681f49b,Friend,"[1, 2, 4, 5]"
be634e38-b793-4754-b63c-3f21540135e5,Matilda,"[1, 2, 3, 4]"
99033ef7-dccb-4f0f-bef8-08695a972f6c,Scarlett's parents,"[2]"
99033ef7-dccb-4f0f-bef8-08695a972f6c,Scarlett,"[1, 2, 3, 4, 5]"
c535e3c0-f0b5-47bc-82c6-ecb164b59205,I (myself),"[1, 3, 4, 5]"
c535e3c0-f0b5-47bc-82c6-ecb164b59205,Neighbor,"[4, 5]"
c535e3c0-f0b5-47bc-82c6-ecb164b59205,Mom,"[2]"
2dab9bf1-f4dc-425e-bac4-3e0852c6750e,Karla,"[1, 2, 3, 4, 5]"
2dab9bf1-f4dc-425e-bac4-3e0852c6750e,Children,"[1, 3]"
96148ca5-d0d3-4d9d-8639-d7b0838c3924,Troy,"[1, 2, 3, 4, 5]"
96148ca5-d0d3-4d9d-8639-d7b0838c3924,Family,"[1, 3, 5]"
73c03d1f-956e-42f6-9b88-a5663bf37b14,Nora,"[1, 2, 3, 4, 5]"
a386415d-fa81-4562-835f-64e12656413d,I (myself),"[1, 5]"
a386415d-fa81-4562-835f-64e12656413d,Shark,"[4]"
a386415d-fa81-4562-835f-64e12656413d,Friend,"[1, 3, 5]"
5a167ac1-9afb-4878-8042-6998b130835e,Beth,"[1, 2, 5]"
cd2a5cab-9562-46dc-991a-efbc80980ffd,I (myself),"[1]"
cd2a5cab-9562-46dc-991a-efbc80980ffd,Friend,"[1]"
db4d80e0-97e7-4a4b-808e-383f5ccb3648,Publishers,"[2]"
db4d80e0-97e7-4a4b-808e-383f5ccb3648,Kurt,"[1]"
ce5cee96-8c6e-45ad-8acd-b0e30f65d89f,Dakota,"[1]"
ce5cee96-8c6e-45ad-8acd-b0e30f65d89f,Children,"[2]"
05234f37-1721-4a8f-8c8d-a160b8d501ae,Jordan,"[1]"
05234f37-1721-4a8f-8c8d-a160b8d501ae,Clown,"[2]"
d6fb2f02-b0ee-489b-b65e-9e65fca6428f,James,"[1, 3, 4, 5]"
3b6e23dd-99be-46b9-9ccd-ca1584ab915b,Tim,"[1, 2, 3, 5]"
f9c138f9-21cb-44d7-917e-33e05c3aafc7,I (myself),"[1, 3, 4, 5]"
661ddb76-79fa-4ed8-951f-da70399c171c,Dan,"[1, 2, 3, 4]"
661ddb76-79fa-4ed8-951f-da70399c171c,His wife,"[5]"
f3a96442-6a45-4419-bea6-2ca97682880c,Lance,"[1, 2, 3, 4, 5]"
34402868-0079-4b73-8de9-b883f9a5895d,Laurie,"[1, 2, 3, 5]"
34402868-0079-4b73-8de9-b883f9a5895d,Tom,"[3, 4]"
d28cc886-09ef-44c0-8d4f-f76454deebcc,Dan,"[1, 3, 4]"
0ee616aa-93ae-46f6-84d0-d4ea3edd3128,Beverly,"[1, 2, 3, 4, 5]"
a04cda2d-fcbe-48b8-bf23-32bd74e37107,Is,"[1, 2]"
269e5ce7-2071-4a3e-a8bc-2db39032d0e3,Grandmother,"[3]"
269e5ce7-2071-4a3e-a8bc-2db39032d0e3,Alice,"[1]"
14f02c26-1a54-4731-b810-39a2b738f972,Mary,"[1]"
49e829fb-965a-4f37-ab81-4c1718d00087,Jim,"[1, 5]"
c1d98878-06d9-43d6-a224-71044f27de62,First baby,"[1]"
c1d98878-06d9-43d6-a224-71044f27de62,Anna,"[1]"
c1d98878-06d9-43d6-a224-71044f27de62,Doctor,"[3]"
979c569c-1e80-4844-81f5-fbab80672511,Frank,"[1, 2, 3, 4, 5]"
979c569c-1e80-4844-81f5-fbab80672511,Ella,"[1, 2, 3, 4]"
979c569c-1e80-4844-81f5-fbab80672511,Acquaintances,"[4, 5]"
40d970b4-4c3a-4a5e-bafe-30fad187a77a,Jane,"[1, 2, 3, 4, 5]"
40d970b4-4c3a-4a5e-bafe-30fad187a77a,Horse,"[1, 4, 5]"
75a493bd-7112-4e59-8f14-00e8e48692e7,Teddy,"[1, 3, 5]"
c8654adb-9c7b-4e32-a016-4243c11ed2b4,Friends,"[1]"
c8654adb-9c7b-4e32-a016-4243c11ed2b4,Emily,"[1, 2, 3, 4]"
f98d61f5-db7b-424b-be91-4e4c7ad61700,I (myself),"[1, 2, 4, 5]"
f98d61f5-db7b-424b-be91-4e4c7ad61700,Josh,"[3, 4, 5]"
454b018d-a263-4e7c-a88d-a186542e717b,Noah,"[1, 2, 3, 5]"
3b5ad744-bfff-4d2a-ba27-2966ec9eb4c9,The kids,"[2, 4]"
3b5ad744-bfff-4d2a-ba27-2966ec9eb4c9,Randy,"[1, 3, 4, 5]"
0093f2b7-e533-4b72-907e-921d596153f5,Tom,"[1, 2, 3, 4, 5]"
12cec0f6-7b97-41bf-b1fb-6add9be86ad0,I (myself),"[1, 3, 4, 5]"
12cec0f6-7b97-41bf-b1fb-6add9be86ad0,Friends,"[1, 3, 4, 5]"
12cec0f6-7b97-41bf-b1fb-6add9be86ad0,Man,"[3]"
ed55ab7b-eeab-42f9-ae52-47951792fd0f,I (myself),"[1, 2, 3, 4, 5]"
ed55ab7b-eeab-42f9-ae52-47951792fd0f,The teacher,"[2, 4]"
50562b02-a462-44d6-94c2-cf089446bf7b,Tim,"[1, 3, 4, 5]"
50562b02-a462-44d6-94c2-cf089446bf7b,Grandparents,"[1, 2]"
47621fbf-63bc-42df-a27e-133d86607fd8,Cathy,"[1, 2, 4]"
47621fbf-63bc-42df-a27e-133d86607fd8,Unruly customer,"[2, 3, 5]"
8c860cb1-98b4-42dd-b2e5-d274658709bf,Jay's sister,"[1, 2]"
8c860cb1-98b4-42dd-b2e5-d274658709bf,Jay,"[1, 2, 3, 4, 5]"
e8a277a1-ef6b-40d5-b8b2-3dd4401978b4,Cecily,"[1, 2, 3, 5]"
4248b15c-0d17-4821-b6ae-b44332be276e,Ava,"[1, 3, 4, 5]"
4248b15c-0d17-4821-b6ae-b44332be276e,Banker,"[3]"
0237c40b-1f05-425c-aa87-ea2863e2844f,Tonya,"[1, 2, 3, 4, 5]"
0237c40b-1f05-425c-aa87-ea2863e2844f,Dog,"[3]"
3f2a17d4-070b-42c2-a064-c389221f3fbc,His friend,"[1, 2, 3, 4]"
3f2a17d4-070b-42c2-a064-c389221f3fbc,Carlos,"[1, 2, 3, 4, 5]"
7c76d80e-4775-497c-9a78-456940556a6d,Roger,"[1, 2, 3, 4, 5]"
0a403ed9-1b88-4740-b6b1-525316509433,Ric,"[1, 3]"
458f04d1-24bf-4a21-83c5-50df8a71a932,Zachary,"[1, 2, 3, 5]"
458f04d1-24bf-4a21-83c5-50df8a71a932,People,"[4]"
9370358c-1b9a-47ee-a2e1-51b9877b74bf,Rick,"[1, 2, 3, 4, 5]"
4bcbb3c5-f782-47fc-9611-9618f40efaf7,Randy,"[1, 2, 3, 5]"
bd981c53-a84e-40a5-831b-09972798a5ee,Kay,"[1, 2, 3, 4, 5]"
bd981c53-a84e-40a5-831b-09972798a5ee,Her favorite author,"[2]"
89aaf7b2-59e2-48b6-a76f-02458c5f78e0,Pet,"[3]"
89aaf7b2-59e2-48b6-a76f-02458c5f78e0,Gemma,"[1, 2, 3, 4, 5]"
89aaf7b2-59e2-48b6-a76f-02458c5f78e0,Stray,"[5]"
89aaf7b2-59e2-48b6-a76f-02458c5f78e0,The doctor,"[1, 4, 5]"
24755814-1ed1-4410-9598-f2c83b4115c2,I (myself),"[1, 3, 4, 5]"
24755814-1ed1-4410-9598-f2c83b4115c2,Mother,"[1, 2, 3, 4]"
f35079d9-e7cb-429a-93d7-c2b8b294a690,Dad,"[5]"
f35079d9-e7cb-429a-93d7-c2b8b294a690,Sara,"[4]"
f35079d9-e7cb-429a-93d7-c2b8b294a690,Jonathan,"[1, 2, 3, 5]"
908ab049-7fec-4645-8adf-82cafe18c7a3,Mia,"[2, 3]"
908ab049-7fec-4645-8adf-82cafe18c7a3,Matt,"[1, 2, 3, 4, 5]"
5b4dde9c-db80-47b0-83da-6d02ee4eef34,Simon,"[1, 2, 3, 4]"
5b4dde9c-db80-47b0-83da-6d02ee4eef34,Mom,"[4]"
594bb1b7-d858-4481-a372-f457a2af708f,Bob,"[1, 3, 5]"
01059544-20d7-430e-8c52-b6f918d36a17,Girl,"[3, 4]"
01059544-20d7-430e-8c52-b6f918d36a17,Doug,"[1, 2, 3, 4, 5]"
1fd96d14-4712-4965-aaa4-ab8260a87d8b,I (myself),"[1, 3]"
1fd96d14-4712-4965-aaa4-ab8260a87d8b,A guy,"[1, 2, 3, 4]"
1fd96d14-4712-4965-aaa4-ab8260a87d8b,His family,"[5]"
1fd96d14-4712-4965-aaa4-ab8260a87d8b,Best friend,"[3, 4]"
7275c58d-3df9-4cc1-b7c0-9360fbcc27dc,Amy,"[1, 2, 3, 4, 5]"
4f49f1d5-2cdb-47f7-9af8-f46e87cb1486,Students,"[1, 2, 4, 5]"
4f49f1d5-2cdb-47f7-9af8-f46e87cb1486,Alicia,"[1, 2, 3, 4, 5]"
d92e1e4e-0bfa-45b9-ad87-45eb75f4dad4,Gina grandma,"[2, 5]"
d92e1e4e-0bfa-45b9-ad87-45eb75f4dad4,Gina,"[2, 3, 4, 5]"
b26f8f66-ce8b-4046-bf64-45f828a6f4d7,Josie,"[1, 3, 5]"
b26f8f66-ce8b-4046-bf64-45f828a6f4d7,Her friends,"[2, 3, 4, 5]"
d6309ee0-9852-4630-a624-0dd1ee727a0e,Daisy,"[1, 2, 3, 4, 5]"
a54dff2d-3a7c-4a1a-800e-cf5ef93840cd,Cousin,"[1, 2, 4, 5]"
a54dff2d-3a7c-4a1a-800e-cf5ef93840cd,Allie,"[1, 2, 3]"
b87444f6-9d16-4e49-b70a-fb3815d26ad0,Lisa,"[1, 2, 3, 4, 5]"
b87444f6-9d16-4e49-b70a-fb3815d26ad0,Justin,"[2, 4, 5]"
d9dc9d34-b371-4dac-8f0f-0da55b778b17,Jenny,"[1, 2, 3, 4, 5]"
b5681956-5a2f-46a5-9786-21c1f8251491,Kathy,"[1, 2, 3, 4, 5]"
b5681956-5a2f-46a5-9786-21c1f8251491,Sue,"[1, 3, 4, 5]"
b94d161c-fc52-49f7-95ef-51f39d5aeb24,Teddy,"[1, 3, 5]"
360e21a1-e5b0-41f3-a62d-8926474c7658,Triple a,"[5]"
360e21a1-e5b0-41f3-a62d-8926474c7658,Jill,"[1, 2, 5]"
95d4bff2-07c4-432e-bc09-e2f274a34bf5,Ant,"[2, 3, 4, 5]"
95d4bff2-07c4-432e-bc09-e2f274a34bf5,Nick,"[1]"
95d4bff2-07c4-432e-bc09-e2f274a34bf5,Daddy,"[3]"
95d4bff2-07c4-432e-bc09-e2f274a34bf5,Rick,"[1, 2, 3, 4, 5]"
7442c9df-039e-4277-a379-c8b26ff3d664,Aj,"[1]"
42c800c5-772b-4e8d-ac3a-6e77cc33bf6c,Amy,"[1, 2, 4]"
42c800c5-772b-4e8d-ac3a-6e77cc33bf6c,Her coworkers,"[2]"
42c800c5-772b-4e8d-ac3a-6e77cc33bf6c,Her boss,"[2]"
42c800c5-772b-4e8d-ac3a-6e77cc33bf6c,Soaked coworkers,"[5]"
b5e83d75-5b7b-48fc-be82-9a17a032b380,Tom,"[1]"
3d84c063-51c8-466b-880e-dca9448c9ecb,Tim,"[1, 3, 5]"
8dbce716-bd02-48cd-9d70-65d0a2bcdfa9,Girlfriend,"[1, 2, 4, 5]"
8dbce716-bd02-48cd-9d70-65d0a2bcdfa9,Alex,"[1, 4]"
4f523120-e895-4003-b606-e68be840b1f4,Dan,"[1, 2, 3, 4, 5]"
4f523120-e895-4003-b606-e68be840b1f4,Magician,"[4]"
a7c5a3f8-c501-4dbb-9a35-a6fb613d3d47,Baby,"[1, 2, 5]"
a7c5a3f8-c501-4dbb-9a35-a6fb613d3d47,Beth,"[1, 2, 3, 4]"
a7c5a3f8-c501-4dbb-9a35-a6fb613d3d47,Bobby,"[1, 2, 3, 4]"
0ca4631b-0616-44c3-9775-b7a0d238ab31,Beth,"[1, 2, 3, 4, 5]"
91006adb-a036-46fa-9fa1-a87a24aea43b,I (myself),"[1, 2, 3, 5]"
91006adb-a036-46fa-9fa1-a87a24aea43b,My wife,"[1]"
91006adb-a036-46fa-9fa1-a87a24aea43b,My daughter,"[2, 3, 4, 5]"
12fd219e-50af-48cd-9720-2fcea9499b6d,The man,"[1, 4, 5]"
12fd219e-50af-48cd-9720-2fcea9499b6d,A mouse,"[2, 3]"
17159ef8-1455-4d5c-8c80-41787e721a9d,Vicki,"[1]"
17159ef8-1455-4d5c-8c80-41787e721a9d,Friends,"[2]"
4891536d-49d5-4e77-aea4-a1abd62cc165,Eric,"[1, 2, 3, 4, 5]"
8125deca-91e3-407d-905d-6de1fdf05d73,Pat,"[1, 3]"
0ce3ec84-b419-464a-b7c6-1f6d5da25133,Rather,"[3]"
0ce3ec84-b419-464a-b7c6-1f6d5da25133,Despite,"[1]"
cfcffed1-4591-4cd8-9f03-a1e13a0041df,I (myself),"[2, 4, 5]"
cfcffed1-4591-4cd8-9f03-a1e13a0041df,My mom,"[1, 2, 4, 5]"
ff82d3d9-21e0-43e2-970b-bc6a9189aaa7,I (myself),"[1, 2, 3, 4]"
ff82d3d9-21e0-43e2-970b-bc6a9189aaa7,Three federal agents,"[4, 5]"
9bfba563-e915-4cd3-8134-beb69499bd06,Family,"[3]"
9bfba563-e915-4cd3-8134-beb69499bd06,Mark,"[1, 2, 3, 4, 5]"
0e023cc1-3c1a-46c9-8a96-6e9bb583d0ac,Cammie,"[1, 2, 3, 5]"
527f7924-c3e4-4173-aecc-0b3133089636,I (myself),"[1, 3, 4, 5]"
527f7924-c3e4-4173-aecc-0b3133089636,Patient,"[4]"
20e057f4-09e8-4d05-88e7-18151cf8f169,Laura,"[1, 2, 3, 5]"
27b3c26f-8647-4e71-aad8-e398fe2fbe9a,John,"[1, 2, 3, 5]"
27b3c26f-8647-4e71-aad8-e398fe2fbe9a,Man,"[2, 3, 5]"
b3c3918c-c35a-4073-97cb-55e768458a5e,I (myself),"[1]"
b3c3918c-c35a-4073-97cb-55e768458a5e,Professors,"[4]"
a216658c-bfe0-4942-a6cc-ee4a851f43d2,Her family,"[2, 3, 5]"
a216658c-bfe0-4942-a6cc-ee4a851f43d2,Boyfriends,"[4]"
a216658c-bfe0-4942-a6cc-ee4a851f43d2,Kim,"[1, 2, 4, 5]"
a216658c-bfe0-4942-a6cc-ee4a851f43d2,Boyfriend,"[1, 2, 3]"
39bf33ee-c2d7-4b04-948a-cdd7310397a9,Eli,"[1, 2, 3, 4, 5]"
0ce99130-cc02-439b-9905-d7247a3412a1,Tim,"[1, 4, 5]"
0ce99130-cc02-439b-9905-d7247a3412a1,Tim's teacher,"[2, 5]"
659144a5-70d4-407d-99a3-5f7912e6f70d,Mitch,"[1, 3, 5]"
c53b367a-d1da-4c70-8a67-11f444969985,Another student,"[5]"
c53b367a-d1da-4c70-8a67-11f444969985,Thief,"[5]"
c53b367a-d1da-4c70-8a67-11f444969985,Shelby,"[1]"
69c46313-5868-4841-a44d-e00a7c964e21,Eliza,"[1, 2, 3, 4, 5]"
2018e090-9dca-4124-b80f-6ce21a7e9521,Bakery,"[2, 3]"
2018e090-9dca-4124-b80f-6ce21a7e9521,Jenny,"[1, 2, 4, 5]"
96ac5861-cbf6-4b30-b5a4-d5013eeea4eb,Fans,"[3]"
96ac5861-cbf6-4b30-b5a4-d5013eeea4eb,Team,"[4]"
96ac5861-cbf6-4b30-b5a4-d5013eeea4eb,Home team,"[5]"
96ac5861-cbf6-4b30-b5a4-d5013eeea4eb,Teams,"[1, 2]"
deabe9d0-b4a8-4c50-a0ff-017e58fcacf9,Luke,"[1, 2, 3, 5]"
deabe9d0-b4a8-4c50-a0ff-017e58fcacf9,Kid,"[3, 4, 5]"
b2f9563d-c719-4e23-9983-66efad0793e8,Randy,"[1, 2]"
6e50d4a1-1dab-4e10-9672-b0375267dec7,Ed,"[1, 3, 4, 5]"
6e50d4a1-1dab-4e10-9672-b0375267dec7,Friends,"[2, 3, 5]"
ae2f6d54-f407-429f-8109-3a6e5ffbf2ac,Dog,"[1, 2, 3, 5]"
ae2f6d54-f407-429f-8109-3a6e5ffbf2ac,Tina,"[1, 3, 4, 5]"
c4f7a295-e454-43ad-aca8-e4b2947a08c5,Anna's love,"[1, 2, 3, 4]"
c4f7a295-e454-43ad-aca8-e4b2947a08c5,Anna,"[1, 2, 4]"
7f1cd793-9d81-41a6-87bb-cc23121d643b,Tina,"[2, 3]"
c68060a9-5b21-44d7-a5a6-122e0d91809d,Dan,"[1, 2, 3, 5]"
9c1bfc4d-1fe5-4313-b4ba-989c92a4c7f6,Fisherman,"[1, 4]"
722468af-5f00-4a42-b238-cd87b3d41ef9,Tim,"[1, 2, 3, 4, 5]"
27534ddd-3e09-4968-a45c-85a360c512f8,Lisa,"[1, 2, 3, 4, 5]"
992ebbb7-c39f-4b1b-ad26-a1ca544250dc,Don,"[1, 2, 3, 4, 5]"
ec4ec426-31ba-4574-a3c8-856a3a546330,Gina,"[1, 2, 3, 5]"
ec4ec426-31ba-4574-a3c8-856a3a546330,Squid,"[3, 4, 5]"
9a43da5d-40df-4329-98a1-5df797d6ae8d,Mom,"[4]"
9a43da5d-40df-4329-98a1-5df797d6ae8d,Kid,"[3]"
897a6bf1-56f4-47df-9a0e-83c1469834a6,Her dad,"[1, 2, 4, 5]"
897a6bf1-56f4-47df-9a0e-83c1469834a6,Beth,"[1, 2, 3, 4, 5]"
897a6bf1-56f4-47df-9a0e-83c1469834a6,Beth really,"[1, 2, 3, 4]"
4e46f863-177f-4732-b140-488d7fab8a68,Hari,"[1, 2, 5]"
5ab270ab-014e-4b59-a30d-26bef7383ea8,Javier,"[1, 2, 3, 4, 5]"
2bce2e7a-35e4-4b90-916b-91ef9817a038,Turtle,"[1, 2, 3, 5]"
2bce2e7a-35e4-4b90-916b-91ef9817a038,Holly,"[1, 2, 3, 4, 5]"
2bce2e7a-35e4-4b90-916b-91ef9817a038,Parents,"[2, 3]"
3300cfbc-227e-40cc-b7e7-7d72e9234769,Security,"[4]"
3300cfbc-227e-40cc-b7e7-7d72e9234769,Everyone,"[2]"
3300cfbc-227e-40cc-b7e7-7d72e9234769,Jeremy,"[1, 3, 5]"
3300cfbc-227e-40cc-b7e7-7d72e9234769,Teachers,"[4, 5]"
d7450d46-b14f-4799-a40a-4d6903f0de12,I (myself),"[1, 3, 4, 5]"
d7450d46-b14f-4799-a40a-4d6903f0de12,The cat,"[2, 3, 4, 5]"
d7450d46-b14f-4799-a40a-4d6903f0de12,Neighbor,"[1, 3]"
45f97a17-635c-4212-b747-a9c74bcd87cf,Mickey,"[1, 3, 4, 5]"
55b7e8d8-1bcf-4df7-b4b8-fb10148a2cd6,Tom,"[1]"
332236c4-2240-465a-9415-efb27521dffc,Anna,"[1, 2, 3, 4, 5]"
b51a1648-e7dc-4a50-a49e-a6932656a9c0,Jerome,"[1, 2, 3, 4, 5]"
0f2fc13c-127c-4c2a-b77e-6c86e1618ed5,Neighbors,"[5]"
0f2fc13c-127c-4c2a-b77e-6c86e1618ed5,Tim,"[1]"
132cb114-6e8c-4fb0-9f00-df75c2a1380e,Bob,"[3, 4, 5]"
132cb114-6e8c-4fb0-9f00-df75c2a1380e,Amanda,"[1, 2, 3, 4, 5]"
9114e30d-9698-4b27-896c-feebfdb33e4f,Neighbour,"[2, 3, 4]"
9114e30d-9698-4b27-896c-feebfdb33e4f,Danny,"[1, 3, 4, 5]"
f14e5923-0699-46be-9801-78a2c2dd9a42,I (myself),"[1, 2, 3, 4, 5]"
4b185f51-067d-4a13-a06a-20f75a2c509e,Charles,"[1, 2, 4, 5]"
c0f31ac8-9366-49eb-8150-bf2c620d3b4c,I (myself),"[1, 2, 3, 4, 5]"
a9b44407-f7be-4e7f-bec9-7266f09b9885,I (myself),"[1]"
a9b44407-f7be-4e7f-bec9-7266f09b9885,Girlfriend,"[1]"
a9b44407-f7be-4e7f-bec9-7266f09b9885,Family,"[2, 5]"
d9d18042-9ff2-452a-82fd-9b569daa3b08,Amy,"[3, 5]"
d9d18042-9ff2-452a-82fd-9b569daa3b08,Tourists,"[2]"
f248dd9a-5d2e-4aa4-89a1-abc005697690,Chelsea,"[1, 2, 3, 4, 5]"
5c257ae3-9758-4252-85f1-6675c8a67fcb,Liza,"[1, 2, 3, 4]"
5c257ae3-9758-4252-85f1-6675c8a67fcb,A man,"[3, 5]"
5c257ae3-9758-4252-85f1-6675c8a67fcb,Some students,"[5]"
9a53929b-dd3d-4146-b10a-7d93b7693a4f,Jake,"[1, 2, 3, 4, 5]"
c1f6c16c-85d7-4450-9ee4-ab157c53ff2b,A person,"[2, 3, 5]"
c1f6c16c-85d7-4450-9ee4-ab157c53ff2b,Farrah,"[1, 2, 4, 5]"
8670fc95-30aa-4499-a877-8f7fd9aff035,Manager,"[2, 5]"
8670fc95-30aa-4499-a877-8f7fd9aff035,Nancy,"[1, 2, 3, 4, 5]"
6405e828-ad13-4edd-a75d-b692f63354fc,I (myself),"[1]"
6405e828-ad13-4edd-a75d-b692f63354fc,God,"[3]"
6405e828-ad13-4edd-a75d-b692f63354fc,People,"[3]"
6405e828-ad13-4edd-a75d-b692f63354fc,Friends,"[1]"
6405e828-ad13-4edd-a75d-b692f63354fc,Jesus,"[2, 4]"
32c57afc-0c8b-4b3c-8c70-11bfa5fdeb76,His family,"[1, 2, 4, 5]"
32c57afc-0c8b-4b3c-8c70-11bfa5fdeb76,Jake,"[1, 3, 4, 5]"
c08801ed-b5b3-4784-9935-58b2aac63f59,Marie,"[4]"
c08801ed-b5b3-4784-9935-58b2aac63f59,Children,"[1, 2, 5]"
c08801ed-b5b3-4784-9935-58b2aac63f59,Johnny,"[4, 5]"
